iter	Logloss
0	0.687338096
1	0.6820752036
2	0.676270363
3	0.6712747563
4	0.6666737201
5	0.6617499418
6	0.6564975732
7	0.6531590082
8	0.647812221
9	0.6427997412
10	0.638526194
11	0.6349019954
12	0.6307966368
13	0.6260652135
14	0.6215354833
15	0.617905302
16	0.6140014037
17	0.6108323402
18	0.6076338924
19	0.6044346174
20	0.6008394589
21	0.597021604
22	0.593538803
23	0.590473509
24	0.5883647375
25	0.5846908571
26	0.5811347503
27	0.5779787969
28	0.5746536879
29	0.5715213405
30	0.5693212502
31	0.5660296918
32	0.5629298316
33	0.5599017012
34	0.5572924697
35	0.5541757833
36	0.551646578
37	0.5488851173
38	0.5466443977
39	0.545214489
40	0.5432804735
41	0.5404827262
42	0.5382538691
43	0.5358216665
44	0.5333826335
45	0.531602751
46	0.529026498
47	0.527088397
48	0.5254246438
49	0.5229499964
50	0.521010441
51	0.5184622067
52	0.5163518861
53	0.5143022989
54	0.5121551237
55	0.5102188947
56	0.5084834171
57	0.506935319
58	0.5046021267
59	0.5029289027
60	0.5015472572
61	0.4996727885
62	0.4980951668
63	0.4972514009
64	0.4964238989
65	0.4946820022
66	0.4929861775
67	0.4912626261
68	0.4894523245
69	0.4880493052
70	0.4872559786
71	0.4860988978
72	0.4851552474
73	0.4835089768
74	0.4820483844
75	0.4809840269
76	0.4802912554
77	0.4791903331
78	0.4778728661
79	0.4772719431
80	0.475803181
81	0.4744319326
82	0.4729405134
83	0.4715125334
84	0.470040821
85	0.468946943
86	0.4673030108
87	0.4660608117
88	0.4647715247
89	0.4637199417
90	0.4628096692
91	0.4615854156
92	0.4603546625
93	0.459131054
94	0.4578314925
95	0.4567260466
96	0.4556453579
97	0.4551966694
98	0.4547985109
99	0.4542211255
100	0.4536628828
101	0.4528421036
102	0.4524746652
103	0.451542608
104	0.4504435519
105	0.4500985137
106	0.4493624229
107	0.4486147939
108	0.4476502256
109	0.4467596153
110	0.4459499491
111	0.4454837501
112	0.4447047744
113	0.4444112937
114	0.4434083385
115	0.4426474414
116	0.4419255348
117	0.4409985339
118	0.4406458269
119	0.4401349632
120	0.4396641832
121	0.4392463279
122	0.4382451746
123	0.4375706281
124	0.4368343575
125	0.4360774497
126	0.4356517468
127	0.4353047628
128	0.4344611654
129	0.4337484058
130	0.4333354242
131	0.4326667662
132	0.4319748552
133	0.4315829795
134	0.4308686234
135	0.4302013939
136	0.4297857643
137	0.4290225389
138	0.4283980301
139	0.4277126419
140	0.4269250491
141	0.4261656932
142	0.4260060385
143	0.4255633722
144	0.4251091071
145	0.4247392551
146	0.4242248182
147	0.4234298942
148	0.4231396146
149	0.4228933109
150	0.4222305295
151	0.421330345
152	0.42128237
153	0.4206321493
154	0.4201242476
155	0.4194591226
156	0.4193138829
157	0.4187046116
158	0.4182559968
159	0.4177273734
160	0.4171874986
161	0.4166365603
162	0.4161613615
163	0.4157339358
164	0.4153291069
165	0.4149689224
166	0.4146452904
167	0.4142076467
168	0.4138119777
169	0.4132686784
170	0.4126893474
171	0.4121504999
172	0.4118276343
173	0.4115507136
174	0.4112296189
175	0.4108022389
176	0.4104398723
177	0.4099820421
178	0.4099000524
179	0.4097018645
180	0.4092698776
181	0.4091952507
182	0.4089995308
183	0.4086401654
184	0.4082197624
185	0.4075959206
186	0.4071803542
187	0.4068866156
188	0.4064024251
189	0.4063136559
190	0.4059039866
191	0.4055296168
192	0.405229196
193	0.4049493764
194	0.4044359471
195	0.4040692954
196	0.4038409536
197	0.4035321289
198	0.4030647815
199	0.4029345766
200	0.4024187557
201	0.4021757997
202	0.4017897804
203	0.4013493313
204	0.401040481
205	0.4006428948
206	0.4003836934
207	0.4001559675
208	0.3999989448
209	0.3998793709
210	0.3998360594
211	0.399750078
212	0.3993962088
213	0.3993413578
214	0.3989798097
215	0.3985816452
216	0.3983000698
217	0.398009552
218	0.3978575654
219	0.3975080111
220	0.3972532376
221	0.3969533739
222	0.3967366304
223	0.3966788758
224	0.3964577821
225	0.3963352427
226	0.3960579659
227	0.3959990948
228	0.3955564057
229	0.3952480523
230	0.3951307761
231	0.3948311992
232	0.3946860427
233	0.3944444664
234	0.3940648656
235	0.3937570918
236	0.3934139783
237	0.3933219121
238	0.3930791426
239	0.3928117128
240	0.392632289
241	0.3924026909
242	0.3922395689
243	0.391974742
244	0.3917115674
245	0.3914694885
246	0.3913825765
247	0.3911809308
248	0.3910330213
249	0.3906447838
250	0.3903299593
251	0.3902833078
252	0.3902493785
253	0.3900561258
254	0.3897094743
255	0.3894275879
256	0.3894005742
257	0.3891779492
258	0.3888666476
259	0.3886230481
260	0.3882385418
261	0.3880960793
262	0.3879657996
263	0.3877314291
264	0.3874967826
265	0.3871355156
266	0.3869774217
267	0.3867968779
268	0.3864883659
269	0.3862204804
270	0.3859525113
271	0.3859374031
272	0.3856928917
273	0.3855900395
274	0.385416156
275	0.3852229179
276	0.3849835386
277	0.3846732364
278	0.3845777926
279	0.3844388309
280	0.3843034257
281	0.3841080416
282	0.3839331743
283	0.3836472003
284	0.3834350131
285	0.3830094082
286	0.382818208
287	0.3826274733
288	0.3824075281
289	0.382232958
290	0.3820224023
291	0.3819791844
292	0.3817569006
293	0.381638293
294	0.3814671988
295	0.3812110599
296	0.3810072935
297	0.380759339
298	0.3803708347
299	0.3801495843
300	0.3799412843
301	0.3797787139
302	0.3796530575
303	0.3793569934
304	0.3791674761
305	0.3790107599
306	0.378935081
307	0.3788198399
308	0.3785374168
309	0.3783908678
310	0.378300046
311	0.378105321
312	0.3779226089
313	0.3778881307
314	0.3777710634
315	0.3774610537
316	0.3772151988
317	0.3769403899
318	0.3767629903
319	0.3767303913
320	0.3766686589
321	0.3765208345
322	0.3762287133
323	0.3760880296
324	0.3759785561
325	0.3758594026
326	0.3757641373
327	0.3756687883
328	0.3755124301
329	0.3753654488
330	0.3750911586
331	0.3750290248
332	0.37477235
333	0.3746313273
334	0.3744606068
335	0.3741898571
336	0.3741030956
337	0.3739116911
338	0.3738046074
339	0.3737048198
340	0.3736980429
341	0.3735804236
342	0.3733552861
343	0.373165873
344	0.3730636159
345	0.3730256871
346	0.3728802136
347	0.3728150013
348	0.3726018631
349	0.37244398
350	0.3724261785
351	0.3722216025
352	0.3720896546
353	0.3719093962
354	0.3716542807
355	0.3714073538
356	0.3711533874
357	0.3709697012
358	0.3707371957
359	0.3705572183
360	0.3703071933
361	0.3702345259
362	0.3699953507
363	0.3697499186
364	0.3696809368
365	0.3695518155
366	0.3693846996
367	0.3691045767
368	0.3689658168
369	0.3687632205
370	0.3687175866
371	0.3686298995
372	0.3686035834
373	0.3684790767
374	0.3684236019
375	0.3683699742
376	0.3682097354
377	0.368037702
378	0.3676610949
379	0.3675000833
380	0.3674600529
381	0.3674030236
382	0.3671356887
383	0.3669434175
384	0.366773118
385	0.3667204394
386	0.366653594
387	0.3663087737
388	0.3661350663
389	0.365933772
390	0.3657663358
391	0.3657098836
392	0.365492386
393	0.3654521281
394	0.3652436327
395	0.3650626516
396	0.3649763572
397	0.3647467887
398	0.364682281
399	0.3644308232
400	0.3641872217
401	0.3639536561
402	0.3637887592
403	0.3635281982
404	0.3634585487
405	0.3632310919
406	0.3630767686
407	0.3629180841
408	0.3627162164
409	0.362655656
410	0.3625851393
411	0.3625782785
412	0.3623991133
413	0.3622632671
414	0.3620305905
415	0.3619056385
416	0.361658867
417	0.3614385523
418	0.3612879816
419	0.3611434005
420	0.3609900272
421	0.3608673355
422	0.3607477253
423	0.3605968732
424	0.3605187065
425	0.3603536797
426	0.3601697487
427	0.3600833928
428	0.3599461516
429	0.3598142753
430	0.3597691066
431	0.3596678679
432	0.3595708528
433	0.3594330766
434	0.3593302264
435	0.3592460599
436	0.3591512364
437	0.3590183064
438	0.358777923
439	0.358493033
440	0.3583680363
441	0.358330433
442	0.3581822341
443	0.358012669
444	0.3578330999
445	0.3574974311
446	0.3574761184
447	0.3572041985
448	0.3570498025
449	0.35693447
450	0.3567423072
451	0.3565694913
452	0.3563210159
453	0.3562107926
454	0.3560318103
455	0.3556324645
456	0.3555087031
457	0.3553533236
458	0.3552211467
459	0.3550603156
460	0.3549538546
461	0.3549067773
462	0.3548374185
463	0.3546606232
464	0.3544664761
465	0.3542651024
466	0.3540883955
467	0.3538743426
468	0.3537534844
469	0.3536380017
470	0.3535870671
471	0.3534897512
472	0.3533703583
473	0.3533320817
474	0.3532353586
475	0.3529925583
476	0.3529484852
477	0.3528636694
478	0.3527141266
479	0.3526814413
480	0.3525400898
481	0.3523442976
482	0.3522291978
483	0.3521806268
484	0.3520298653
485	0.3517810641
486	0.3516788706
487	0.3514876275
488	0.3513743692
489	0.3512178725
490	0.3510919006
491	0.3510344183
492	0.3510152509
493	0.3508100974
494	0.3506099035
495	0.3504713727
496	0.3503064945
497	0.350123701
498	0.3499765419
499	0.3497657218
500	0.349704058
501	0.3495298583
502	0.3494363318
503	0.3492229788
504	0.3491233589
505	0.3490576948
506	0.3488791014
507	0.3487607943
508	0.3486662424
509	0.3485093361
510	0.3484397901
511	0.3483288275
512	0.3481423703
513	0.3480406909
514	0.3480108584
515	0.3479247507
516	0.3479162974
517	0.3476589881
518	0.3475386054
519	0.3473422745
520	0.3471918784
521	0.3470870793
522	0.3470225954
523	0.3470094855
524	0.3469617473
525	0.3469293566
526	0.3468602121
527	0.346708789
528	0.3466025321
529	0.3465395746
530	0.346332084
531	0.3462543241
532	0.3461199365
533	0.3459099006
534	0.3457990517
535	0.3456815823
536	0.3456369853
537	0.3455158395
538	0.3453087206
539	0.3450640251
540	0.3449319374
541	0.344779836
542	0.3447504909
543	0.3446452451
544	0.3445037978
545	0.3444352872
546	0.3443354012
547	0.3442274539
548	0.3441132708
549	0.3439938886
550	0.3437924683
551	0.343731172
552	0.3435772439
553	0.3433079721
554	0.343155763
555	0.3430806376
556	0.3429442051
557	0.3427826356
558	0.3426560698
559	0.342485554
560	0.3422954501
561	0.3422848724
562	0.3422003748
563	0.3420415905
564	0.3419184748
565	0.3418156083
566	0.341714813
567	0.3414878745
568	0.3413345102
569	0.3412306543
570	0.3410583917
571	0.3410426745
572	0.340916433
573	0.3408959542
574	0.3407375537
575	0.3406364765
576	0.3405836529
577	0.3405193072
578	0.3404857763
579	0.3403987646
580	0.3401968365
581	0.3399695937
582	0.3398633166
583	0.3397619407
584	0.3396736189
585	0.3395671837
586	0.3394569585
587	0.3391958091
588	0.3391947236
589	0.339025823
590	0.3388224258
591	0.3387743663
592	0.3387606956
593	0.3386526117
594	0.3385747262
595	0.3383455933
596	0.3382247261
597	0.3381540089
598	0.3380294168
599	0.3378776924
600	0.3377692941
601	0.337672195
602	0.3375867427
603	0.337499694
604	0.3373585174
605	0.3371750411
606	0.3371104223
607	0.336949065
608	0.336922512
609	0.3366888094
610	0.3365755949
611	0.3363991935
612	0.3363102327
613	0.3361974968
614	0.3360530441
615	0.3359859274
616	0.3358170795
617	0.3358089965
618	0.3357519662
619	0.3357192823
620	0.3354967712
621	0.3352157268
622	0.3350490471
623	0.3349292893
624	0.3347920459
625	0.3346656688
626	0.3346028817
627	0.3345021779
628	0.3343228655
629	0.3343027057
630	0.3342804883
631	0.3342264469
632	0.3341124792
633	0.3340127788
634	0.3338203149
635	0.3337117097
636	0.3335911559
637	0.3334162432
638	0.3331649417
639	0.3331453928
640	0.3330410612
641	0.3329621296
642	0.3328478718
643	0.3326889866
644	0.3326228712
645	0.3325375351
646	0.3324878089
647	0.3323560434
648	0.3322582204
649	0.3321488006
650	0.3320685478
651	0.3319543629
652	0.3317255373
653	0.3316344422
654	0.3314945269
655	0.3314634451
656	0.3313369077
657	0.3312415132
658	0.3312022522
659	0.3310421181
660	0.3308683286
661	0.3307349452
662	0.3305123161
663	0.3303163751
664	0.3302480954
665	0.3301412647
666	0.3301032854
667	0.3300365123
668	0.3299850168
669	0.3297999033
670	0.3297068623
671	0.3294614413
672	0.3293514025
673	0.329324233
674	0.3293159237
675	0.3291086326
676	0.3290276654
677	0.3288978027
678	0.3288589402
679	0.3287369779
680	0.3286472124
681	0.3285681996
682	0.3283917129
683	0.3282601908
684	0.3280062131
685	0.3278618028
686	0.3277435316
687	0.3276934168
688	0.3276089311
689	0.3275609632
690	0.3274373434
691	0.3273888551
692	0.3272255646
693	0.3269888361
694	0.3268510917
695	0.3266298629
696	0.326618888
697	0.326356185
698	0.3261409799
699	0.3260268121
700	0.3259191774
701	0.3258293908
702	0.3257567235
703	0.3257464945
704	0.3256588747
705	0.3255693605
706	0.3255538435
707	0.3254596162
708	0.3253794399
709	0.3252898117
710	0.3252152703
711	0.3251405503
712	0.3250355441
713	0.3248716313
714	0.3247890518
715	0.3246648918
