iter	Passed	Remaining
0	0	395
1	0	383
2	1	417
3	1	424
4	1	396
5	2	406
6	2	409
7	3	398
8	3	403
9	4	407
10	4	403
11	4	402
12	5	398
13	6	425
14	6	434
15	6	426
16	7	431
17	8	437
18	8	451
19	9	451
20	9	454
21	10	456
22	10	457
23	11	460
24	11	454
25	12	457
26	12	457
27	13	460
28	13	462
29	14	461
30	14	456
31	15	454
32	15	452
33	15	449
34	16	448
35	16	446
36	17	442
37	17	441
38	17	436
39	17	429
40	18	425
41	18	423
42	18	419
43	19	418
44	19	417
45	20	416
46	20	415
47	20	412
48	21	409
49	21	410
50	22	409
51	22	409
52	22	408
53	23	408
54	23	408
55	24	407
56	24	406
57	24	403
58	25	403
59	25	403
60	26	402
61	26	402
62	26	401
63	27	397
64	27	394
65	27	394
66	28	393
67	28	394
68	29	402
69	30	403
70	30	400
71	30	397
72	31	396
73	31	395
74	32	395
75	32	392
76	32	392
77	33	395
78	33	394
79	34	393
80	34	393
81	35	394
82	35	396
83	36	396
84	36	397
85	37	398
86	37	398
87	38	400
88	39	400
89	39	401
90	40	401
91	40	401
92	41	401
93	41	401
94	42	401
95	42	401
96	43	401
97	43	399
98	43	398
99	44	397
100	44	397
101	45	397
102	45	395
103	46	396
104	46	397
105	46	395
106	47	395
107	47	395
108	48	395
109	48	396
110	49	396
111	49	395
112	50	396
113	50	394
114	51	394
115	51	393
116	52	393
117	52	394
118	53	393
119	53	393
120	54	393
121	54	392
122	54	391
123	55	390
124	55	390
125	56	389
126	56	387
127	56	386
128	57	385
129	57	385
130	57	384
131	58	384
132	58	383
133	59	382
134	59	381
135	59	380
136	60	380
137	60	380
138	61	379
139	61	379
140	62	378
141	62	378
142	62	376
143	63	375
144	63	374
145	63	374
146	64	373
147	64	373
148	65	371
149	65	370
150	65	369
151	66	369
152	66	367
153	66	367
154	67	366
155	67	366
156	67	365
157	68	365
158	68	364
159	69	364
160	69	364
161	70	364
162	70	364
163	71	364
164	72	364
165	72	364
166	73	364
167	73	364
168	74	364
169	74	364
170	75	364
171	75	364
172	76	363
173	76	363
174	76	362
175	77	362
176	77	361
177	78	361
178	78	360
179	78	359
180	79	358
181	79	357
182	79	356
183	80	356
184	80	355
185	81	355
186	81	355
187	82	354
188	82	354
189	83	353
190	83	353
191	83	352
192	84	352
193	84	351
194	85	351
195	85	351
196	86	350
197	86	350
198	86	349
199	87	348
200	87	348
201	88	348
202	88	347
203	88	347
204	89	346
205	89	346
206	90	345
207	90	345
208	91	344
209	91	343
210	91	342
211	91	341
212	92	341
213	92	340
214	93	339
215	93	339
216	93	339
217	94	338
218	94	338
219	95	337
220	95	337
221	96	336
222	96	336
223	96	335
224	97	335
225	97	334
226	98	334
227	98	333
228	98	332
229	99	332
230	99	331
231	100	331
232	100	330
233	100	330
234	101	329
235	101	329
236	102	329
237	102	328
238	103	328
239	103	328
240	104	327
241	104	327
242	105	327
243	105	327
244	106	326
245	106	326
246	106	326
247	107	325
248	107	325
249	108	325
250	108	324
251	109	323
252	109	322
253	109	322
254	110	322
255	110	321
256	110	320
257	111	320
258	111	319
259	112	319
260	112	318
261	112	317
262	113	317
263	113	316
264	113	316
265	114	315
266	114	315
267	115	314
268	115	314
269	116	313
270	116	313
271	116	312
272	117	311
273	117	311
274	117	310
275	118	310
276	118	310
277	119	309
278	119	309
279	120	308
280	120	308
281	120	307
282	121	307
283	121	307
284	122	306
285	122	306
286	123	306
287	123	305
288	124	305
289	124	305
290	125	304
291	125	304
292	126	304
293	126	303
294	126	303
295	127	302
296	127	302
297	128	301
298	128	301
299	128	300
300	129	300
301	129	299
302	130	299
303	130	299
304	131	299
305	131	298
306	132	298
307	132	298
308	133	297
309	133	297
310	134	296
311	134	296
312	135	296
313	135	295
314	135	295
315	136	295
316	136	294
317	137	294
318	138	294
319	138	294
320	138	293
321	139	293
322	139	293
323	140	293
324	141	293
325	141	292
326	142	292
327	142	292
328	143	291
329	143	291
330	144	291
331	144	290
332	144	290
333	145	290
334	146	289
335	146	289
336	147	289
337	147	288
338	148	288
339	148	288
340	148	287
341	149	287
342	149	286
343	150	286
344	150	286
345	151	286
346	151	285
347	152	285
348	152	285
349	153	284
350	153	284
351	154	284
352	154	283
353	155	283
354	155	283
355	156	282
356	156	282
357	157	282
358	157	281
359	158	281
360	158	281
361	159	281
362	159	280
363	160	280
364	160	279
365	161	279
366	161	279
367	162	278
368	162	278
369	163	278
370	163	277
371	164	277
372	164	276
373	165	276
374	165	275
375	165	275
376	166	275
377	167	275
378	167	274
379	168	274
380	168	273
381	169	273
382	169	273
383	170	272
384	170	272
385	171	272
386	171	271
387	172	271
388	172	271
389	173	271
390	173	270
391	174	270
392	174	269
393	175	269
394	175	268
395	175	268
396	176	268
397	176	267
398	177	267
399	177	266
400	178	266
401	178	266
402	179	265
403	179	265
404	180	264
405	180	264
406	181	263
407	181	263
408	182	263
409	182	262
410	183	262
411	183	261
412	184	261
413	184	261
414	185	260
415	185	260
416	186	260
417	186	259
418	187	259
419	187	259
420	188	259
421	188	258
422	189	258
423	189	257
424	190	257
425	190	257
426	191	257
427	192	256
428	192	256
429	193	256
430	193	255
431	193	255
432	194	254
433	194	254
434	195	253
435	195	253
436	196	253
437	196	252
438	197	252
439	198	252
440	198	251
441	199	251
442	199	250
443	200	250
444	200	250
445	201	250
446	201	249
447	202	249
448	202	248
449	203	248
450	203	248
451	204	247
452	204	247
453	205	247
454	206	246
455	206	246
456	206	245
457	207	245
458	207	245
459	208	244
460	209	244
461	209	244
462	210	243
463	210	243
464	211	242
465	211	242
466	212	242
467	212	241
468	213	241
469	213	240
470	214	240
471	214	240
472	215	239
473	215	239
474	216	238
475	216	238
476	217	238
477	217	237
478	218	237
479	218	236
480	219	236
481	219	236
482	220	235
483	220	235
484	221	234
485	221	234
486	222	234
487	222	233
488	223	233
489	223	233
490	224	232
491	224	232
492	225	231
493	225	231
494	226	230
495	226	230
496	227	230
497	227	229
498	228	229
499	228	228
500	229	228
501	229	227
502	230	227
503	230	227
504	231	226
505	231	226
506	232	225
507	232	225
508	233	225
509	233	224
510	234	224
511	234	223
512	235	223
513	236	223
514	236	222
515	237	222
516	237	221
517	238	221
518	238	221
519	239	220
520	239	220
521	240	219
522	240	219
523	241	218
524	241	218
525	242	218
526	242	217
527	243	217
528	243	216
529	244	216
530	244	216
531	245	215
532	245	215
533	246	214
534	246	214
535	247	214
536	247	213
537	248	213
538	248	212
539	249	212
540	249	211
541	250	211
